1AIRLINE STANDARD SCHEDULE DATA SET                                                                                                                                                            001000001
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
2UU8  0008    31MAR1931DEC1929APR15--------------------------------------------------------------------                                                                                           EN1748000002
3 U8 14930101J18MAY1919OCT19     6  PVK09400940+0300  TLV12001200+0300  100                                                                                                                       57
3 U8 14280101J15JUN1931AUG19     6  TLV12551255+0300  PVK15301530+0300  100                                                                                                                       58
3 U8 14290101J15JUN1931AUG19     6  PVK16301630+0300  TLV18501850+0300  100                                                                                                                       59
3 U8 04790101J15JUN1931AUG19     6  TLV20502050+0300  LCA21552155+0300  100                                                                                                                       60
3 U8 01020101J06APR1928DEC19     6  LCA17201720+0300  TLV18251825+0300  100                                                                                                                       61
3 U8 01060101J31MAR1929DEC19      7 LCA05050505+0300  TLV06100610+0300  100                                                                                                                       62
3 U8 01070101J31MAR1929DEC19      7 TLV07100710+0300  LCA08100810+0300  100                                                                                                                       63
3 U8 01240101J31MAR1920OCT19      7 LCA13551355+0300  TLV15001500+0300  100                                                                                                                       64
3 U8 01250101J31MAR1920OCT19      7 TLV16001600+0300  LCA17051705+0300  100                                                                                                                       65
3 U8 14220101J30JUN1920OCT19      7 TLV10351035+0300  HER12351235+0300  F70                                                                                                                       66
3 U8 14230101J30JUN1920OCT19      7 HER13201320+0300  TLV15101510+0300  F70                                                                                                                       67
3 U8 14180101J30JUN1920OCT19      7 TLV16251625+0300  RHO18051805+0300  F70                                                                                                                       68
3 U8 14230101J30JUN1920OCT19      7 RHO19001900+0300  TLV20302030+0300  F70                                                                                                                       69
3 U8 04810101J30JUN1920OCT19      7 TLV21302130+0300  LCA22352235+0300  F70                                                                                                                       70
