,date,threshold,density,max_clique,clique_size,valid_clique,computation_time
0,2020-01-29,0.1,0.8827586206896552,"['BMY', 'C', 'CL', 'CMCSA', 'COP', 'COVID_Canada', 'CSCO', 'DIS', 'DUK', 'EXC', 'F', 'FDX', 'GD', 'GILD', 'GM', 'GOOG', 'GOOGL']",17,True,0.008265000000051259
1,2020-02-05,0.1,0.8827586206896552,"['CMCSA', 'COST', 'COVID_Canada', 'CSCO', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'GD', 'GOOG', 'GOOGL', 'GS']",16,True,0.007043000000066968
2,2020-02-12,0.1,0.9908045977011494,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GILD', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",29,True,0.004157999999961248
3,2020-02-20,0.1,0.9885057471264368,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",28,True,0.003354000000058477
4,2020-02-27,0.1,0.9494252873563218,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",27,True,0.0038529999999354914
5,2020-03-05,0.1,0.9908045977011494,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",29,True,0.003679999999917527
6,2020-03-12,0.1,0.9425287356321839,"['BMY', 'C', 'CL', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",25,True,0.003287000000000262
7,2020-01-29,0.2,0.7793103448275862,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COST', 'CSCO', 'CVS', 'CVX', 'DUK', 'EMR', 'F', 'FDX', 'GD', 'GE']",15,True,0.004340999999953965
8,2020-02-05,0.2,0.7471264367816092,"['C', 'CAT', 'CMCSA', 'COP', 'DUK', 'EMR', 'EXC', 'F', 'FDX', 'GM', 'GOOG', 'GOOGL']",12,True,0.00474599999995462
9,2020-02-12,0.2,0.9816091954022989,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GILD', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",29,True,0.0027069999999866923
10,2020-02-20,0.2,0.9885057471264368,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",28,True,0.0026199999999789725
11,2020-02-27,0.2,0.9011494252873563,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",26,True,0.003185999999914202
12,2020-03-05,0.2,0.9816091954022989,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",28,True,0.003351000000066051
13,2020-03-12,0.2,0.8919540229885058,"['BMY', 'C', 'CL', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",25,True,0.0043060000000423315
14,2020-01-29,0.30000000000000004,0.6597701149425287,"['BMY', 'C', 'CMCSA', 'COST', 'COVID_Canada', 'CSCO', 'CVS', 'DUK', 'F', 'FDX', 'GD', 'GILD', 'GOOG', 'GOOGL']",14,True,0.005210000000033688
15,2020-02-05,0.30000000000000004,0.5908045977011495,"['CMCSA', 'COST', 'COVID_Canada', 'CSCO', 'DIS', 'DUK', 'EMR', 'EXC', 'FB', 'FDX', 'GOOG', 'GOOGL', 'GS']",13,True,0.007278000000042084
16,2020-02-12,0.30000000000000004,0.9586206896551724,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GILD', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",29,True,0.0031259999999520005
17,2020-02-20,0.30000000000000004,0.9816091954022989,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",28,True,0.0027250000000549335
18,2020-02-27,0.30000000000000004,0.864367816091954,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",25,True,0.004324999999994361
19,2020-03-05,0.30000000000000004,0.9747126436781609,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",28,True,0.005100000000084037
20,2020-03-12,0.30000000000000004,0.8367816091954023,"['BMY', 'C', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",24,True,0.006321999999954642
21,2020-01-29,0.4,0.5632183908045977,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COST', 'CSCO', 'CVS', 'CVX', 'F', 'FDX', 'GD', 'GE']",13,True,0.008310000000051332
22,2020-02-05,0.4,0.4781609195402299,"['CMCSA', 'COST', 'COVID_Canada', 'CSCO', 'DIS', 'DUK', 'EMR', 'EXC', 'FB', 'FDX', 'GS']",11,True,0.009833999999955267
23,2020-02-12,0.4,0.9448275862068966,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GILD', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",29,True,0.005662000000029366
24,2020-02-20,0.4,0.9747126436781609,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COST', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",28,True,0.004375999999979285
25,2020-02-27,0.4,0.8183908045977012,"['BMY', 'C', 'CAT', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVX', 'DHR', 'DIS', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",25,True,0.01211799999998675
26,2020-03-05,0.4,0.9448275862068966,"['BMY', 'C', 'CAT', 'CL', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CSCO', 'CVS', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FDX', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",28,True,0.003585000000043692
27,2020-03-12,0.4,0.7770114942528735,"['BMY', 'C', 'CMCSA', 'COF', 'COP', 'COVID_Canada', 'CVX', 'DHR', 'DIS', 'DUK', 'EMR', 'EXC', 'F', 'FB', 'FOX', 'FOXA', 'GD', 'GE', 'GM', 'GOOG', 'GOOGL', 'GS', 'HAL']",23,True,0.008821000000011736
28,2020-01-29,0.5,0.4436781609195402,"['BMY', 'C', 'COVID_Canada', 'CSCO', 'CVS', 'EXC', 'F', 'FDX', 'GD', 'GILD', 'GOOG', 'GOOGL']",12,True,0.007569999999986976
29,2020-02-05,0.5,0.36551724137931035,"['CMCSA', 'COST', 'COVID_Canada', 'DUK', 'EMR', 'EXC', 'FDX', 'GOOG', 'GOOGL', 'GS']",10,True,0.007926999999995132
